"ind","nqueens","mutate"
2642,11,0.05
10322,11,0.05
9962,11,0.1
52562,11,0.1
3962,11,0.1
6962,11,0.1
3242,11,0.1
20402,11,0.1
5282,11,0.1
5042,11,0.1
51602,11,0.1
22682,11,0.1
29042,11,0.25
2642,11,0.25
53162,11,0.25
28922,11,0.25
51482,11,0.25
362,11,0.25
4682,11,0.25
9362,11,0.25
50402,11,0.25
30482,11,0.25
18722,11,0.5
27122,11,0.5
962,11,0.5
36962,11,0.5
18122,11,0.5
23642,11,0.5
2402,11,0.5
4682,11,0.5
29402,11,0.5
13562,11,0.5
4682,11,0.75
33002,11,0.75
4562,11,0.75
5402,11,0.75
27362,11,0.75
83642,11,0.75
38882,11,0.75
44162,11,0.75
11522,11,0.75
11762,11,0.75
5162,11,0.9
18722,11,0.9
242,11,0.9
6002,11,0.9
147362,11,0.9
19802,11,0.9
5642,11,0.9
127922,11,0.9
8042,11,0.9
1202,11,0.9
63722,11,1
1442,11,1
6842,11,1
14642,11,1
51362,11,1
22442,11,1
8522,11,1
35882,11,1
2282,11,1
21722,11,1
40471,12,0.01
12443,12,0.01
37897,12,0.01
52197,12,0.01
181612,12,0.01
139999,12,0.01
33035,12,0.01
68499,12,0.01
93524,12,0.01
132134,12,0.01
6008,12,0.05
10012,12,0.05
111113,12,0.05
21595,12,0.05
198486,12,0.05
45476,12,0.05
122839,12,0.05
42473,12,0.05
166025,12,0.05
4578,12,0.05
39470,12,0.1
106680,12,0.1
23740,12,0.1
249680,12,0.1
2719,12,0.1
70644,12,0.1
117262,12,0.1
41043,12,0.1
112686,12,0.1
85230,12,0.1
23025,12,0.25
47621,12,0.25
9440,12,0.25
37897,12,0.25
76507,12,0.25
141143,12,0.25
11156,12,0.25
4864,12,0.25
89377,12,0.25
43903,12,0.25
4435,12,0.5
33750,12,0.5
15017,12,0.5
35323,12,0.5
65210,12,0.5
83371,12,0.5
26171,12,0.5
63494,12,0.5
32749,12,0.5
153727,12,0.5
35180,12,0.75
74362,12,0.75
64781,12,0.75
109397,12,0.75
56916,12,0.75
212214,12,0.75
3148,12,0.75
65925,12,0.75
19593,12,0.75
4721,12,0.75
42616,12,0.9
18592,12,0.9
59919,12,0.9
260405,12,0.9
27172,12,0.9
33464,12,0.9
62636,12,0.9
280997,12,0.9
23883,12,0.9
4578,12,0.9
5150,12,1
12872,12,1
288,12,1
36324,12,1
28602,12,1
39041,12,1
28173,12,1
21738,12,1
93953,12,1
10012,12,1
